"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL"
"1","Month",13,1510.36787033478,208.537688702319,5.20734394613106e-46,5.20734394613106e-46,-742.03716097384
"2","Maturity",3,1492.17279835699,190.342616724534,4.65185257499727e-42,4.65185257499727e-42,-743.076799178495
"3","Length",3,1301.83018163246,0,1,1,-647.905490816228
"4","Density",3,1599.1718908113,297.341709178844,2.71061746334457e-65,2.71061746334457e-65,-796.57634540565
